T14521, @Eric22 Euston Leisure Messaging is awesome! #ELM #JSON #Tagliatelle
T78445, @JackTenessee I'm happy I have lived long enough to see that! This is for you @JeanRochefort #ELM
T89954, @user1438 Very impressive. Keep up the good work!
E45214, ec1529114@edinburghcollege.ac.uk Hello Euston Leisure A quick email to tell you that I admire your work and am very impressed with the quality of Euston Leisure Messaging.
S45871, +441314555744 Awesome! ELM is the best!
S23547, 07169493621 IMO this app is amazing. Good work.
E87453, 40430624@napier.ac.uk Are you a man?        Nice. Check out this website: www.playrussianroulettetonight.ru!
T33354, @ChuckBerry Everybody should come check out the new Euston Leisure Messaging app! #ELM @ElonMusk @Normandy
S14784, 0142322121 RME Oh no, another one of these stupid messaging app... WOMBAT
E14578, alert@weather.info SIR 15/10/19         Sport Centre Code: 21-354-87 Nature of Incident: Device Damage A device was damaged earlier at the Sport Centre of Cacouna, QC. We believe the damaged equipment is a toaster. To follow the investigation live, use this link http://weather.info/151019/toaster-cacouna/
E12235, donotreply@hmrc.co.uk URGENT-Taxes to pay  It has come to our attention that you have not paid your taxes since you registered your company. It would be so kind if you could start paying. For more information, you can contact us +442425533352, or find more contact information on www.hmrc.gov.uk/contact-hmrc/
S75311, 0542424212 Thanks for everything. Yesterday at Euston Leisure Sport Centre was magical. A treat. HF everyone, you deserve it.
